Invoice_Number,Invoice_Date,Due_Date,Posting_Date,Vendor_ID,Vendor_Country,Vendor_Payment_Terms,Vendor_Risk_Score,Invoice_Amount,Tax_Amount,Tax_Code,Tax_Rate,Payment_Method,Number_of_Approvals,Approval_Time_Days,Payment_Status,Three_Way_Match,PO_Amount_vs_Invoice_Diff,Goods_Receipt_vs_Invoice_Diff,Historical_Non_Compliance,Non_Compliant
100000,2024-01-01,2024-01-15,2024-01-05,1102,China,Net 45,9,4795.76,2318.81,D4,5,Wire,2,14,Pending,Match,483.6,-9,0,0
100001,2024-01-02,2024-01-16,2024-01-06,1435,India,Net 45,3,12224.05,4034.41,D4,28,Credit Card,2,14,Pending,Mismatch,69.07,2,0,0
100002,2024-01-03,2024-01-17,2024-01-07,1860,Germany,Net 30,4,8664.23,906.43,D4,18,Cash,4,25,Overdue,Match,-297.23,-9,0,0
100003,2024-01-04,2024-01-18,2024-01-08,1270,India,Net 60,2,6668.45,4798.38,D4,5,Credit Card,3,24,Overdue,Match,-207.19,0,0,0
100004,2024-01-05,2024-01-19,2024-01-09,1106,Germany,Net 45,3,18612.02,1931.96,C3,28,Cash,4,25,Pending,Match,193.56,2,0,0
100005,2024-01-06,2024-01-20,2024-01-10,1071,USA,Net 30,5,11854.98,1714.43,C3,5,ACH,3,29,Overdue,Match,424.74,-1,1,0
100006,2024-01-07,2024-01-21,2024-01-11,1700,India,Net 45,5,11306.0,4374.28,C3,12,Cash,3,14,Overdue,Match,-321.28,4,0,0
100007,2024-01-08,2024-01-22,2024-01-12,1020,China,Net 30,6,3207.31,2823.7,D4,28,Wire,4,19,Pending,Mismatch,-417.65,-10,0,0
100008,2024-01-09,2024-01-23,2024-01-13,1614,China,Net 30,7,1374.67,2587.06,D4,18,Wire,3,3,Overdue,Mismatch,381.53,3,0,0
100009,2024-01-10,2024-01-24,2024-01-14,1121,UK,Net 30,7,5587.03,3637.62,B2,18,Wire,2,17,Overdue,Match,415.28,-1,0,0
100010,2024-01-11,2024-01-25,2024-01-15,1466,Germany,Net 60,1,9023.78,2903.37,A1,12,Credit Card,1,14,Paid,Match,-223.62,7,0,0
100011,2024-01-12,2024-01-26,2024-01-16,1214,India,Net 30,2,21833.69,820.95,B2,5,Wire,3,10,Overdue,Match,-122.71,0,0,0
100012,2024-01-13,2024-01-27,2024-01-17,1330,UK,Net 30,9,25770.75,3374.25,C3,5,Cash,2,13,Paid,Match,160.19,-4,0,0
100013,2024-01-14,2024-01-28,2024-01-18,1458,India,Net 60,2,7459.3,676.01,B2,18,ACH,4,22,Pending,Match,-170.07,4,0,0
100014,2024-01-15,2024-01-29,2024-01-19,1087,Germany,Net 60,6,21526.78,4031.23,D4,5,Wire,3,4,Paid,Match,377.16,-8,0,0
100015,2024-01-16,2024-01-30,2024-01-20,1372,China,Net 30,1,17416.57,4948.79,C3,28,Credit Card,2,11,Pending,Mismatch,-392.42,-9,0,0
100016,2024-01-17,2024-01-31,2024-01-21,1099,USA,Net 60,3,9579.47,1893.16,X99,28,ACH,3,67,Paid,Mismatch,6765.88,-3,1,1
100017,2024-01-18,2024-02-01,2024-01-22,1871,China,Net 45,2,838.62,2229.33,A1,18,Wire,4,15,Paid,Match,-291.51,-3,0,0
100018,2024-01-19,2024-02-02,2024-01-23,1663,UK,Net 45,3,23617.38,241.7,A1,28,Wire,1,24,Paid,Match,-213.91,0,0,0
100019,2024-01-20,2024-02-03,2024-01-24,1130,USA,Net 60,5,34439.76,78.53,C3,18,ACH,3,2,Overdue,Match,-387.07,5,0,0
100020,2024-01-21,2024-02-04,2024-01-25,1661,UK,Net 60,6,11700.73,4607.88,C3,5,Wire,1,11,Overdue,Match,-434.31,-9,0,0
100021,2024-01-22,2024-02-05,2024-01-26,1308,Germany,Net 30,9,7024.44,651.83,B2,5,Credit Card,3,2,Overdue,Mismatch,255.61,-6,0,0
100022,2024-01-23,2024-02-06,2024-01-27,1769,USA,Net 60,4,44408.62,2234.44,C3,5,Cash,3,23,Overdue,Match,-335.72,-4,0,0
100023,2024-01-24,2024-02-07,2024-01-28,1343,UK,Net 30,7,14113.73,4078.62,D4,12,Cash,4,29,Overdue,Match,413.92,9,0,0
100024,2024-01-25,2024-02-08,2024-01-29,1491,Germany,Net 45,6,11568.82,4447.7,B2,18,ACH,3,5,Paid,Match,-132.0,2,0,0
100025,2024-01-26,2024-02-09,2024-01-30,1413,China,Net 60,2,42926.3,2601.79,D4,28,Cash,2,13,Overdue,Match,170.61,-9,0,0
100026,2024-01-27,2024-02-10,2024-01-31,1805,Germany,Net 30,8,40946.8,2829.51,D4,5,Wire,2,1,Pending,Mismatch,-274.6,-8,0,0
100027,2024-01-28,2024-02-11,2024-02-01,1385,India,Net 30,7,22693.15,3351.72,D4,12,Wire,1,7,Paid,Match,-259.68,-2,0,0
100028,2024-01-29,2024-02-12,2024-02-02,1191,Germany,Net 45,7,24717.32,4807.3,C3,28,Credit Card,1,7,Paid,Mismatch,74.71,-1,0,0
100029,2024-01-30,2024-02-13,2024-02-03,1955,Germany,Net 60,8,11278.56,3017.32,A1,28,Cash,2,10,Pending,Match,60.64,2,0,0
100030,2024-01-31,2024-02-14,2024-02-04,1276,India,Net 45,1,4375.93,2801.78,A1,28,ACH,1,6,Overdue,Match,268.73,2,0,0
100031,2024-02-01,2024-02-15,2024-02-05,1160,UK,Net 30,1,28884.88,82.53,D4,5,Wire,1,20,Pending,Match,257.81,-6,0,0
100032,2024-02-02,2024-02-16,2024-02-06,1459,UK,Net 30,8,5368.07,413.94,C3,28,ACH,2,12,Paid,Match,170.69,-4,0,0
100033,2024-02-03,2024-02-17,2024-02-07,1313,Germany,Net 60,4,22739.09,2890.09,B2,18,Wire,2,13,Paid,Match,-50.87,6,0,0
100034,2024-02-04,2024-02-18,2024-02-08,1021,India,Net 30,5,47054.61,4681.84,D4,12,Wire,2,24,Paid,Match,390.64,4,0,0
100035,2024-02-05,2024-02-19,2024-02-09,1252,India,Net 60,8,47665.3,4334.79,B2,28,Credit Card,4,28,Pending,Match,122.58,-6,0,0
100036,2024-02-06,2024-02-20,2024-02-10,1747,China,Net 45,5,12346.95,4913.07,B2,28,Cash,4,11,Overdue,Match,490.2,-4,0,0
100037,2024-02-07,2024-02-21,2024-02-11,1856,UK,Net 60,4,31393.61,2643.89,C3,18,Credit Card,2,18,Paid,Mismatch,319.37,-9,0,0
100038,2024-02-08,2024-02-22,2024-02-12,1560,USA,Net 60,6,23966.78,3941.78,C3,28,Cash,3,2,Overdue,Mismatch,-455.69,7,0,0
100039,2024-02-09,2024-02-23,2024-02-13,1474,UK,Net 30,5,43846.41,4203.6,A1,5,ACH,2,16,Paid,Match,-179.41,-1,0,0
100040,2024-02-10,2024-02-24,2024-02-14,1058,UK,Net 30,7,13935.83,3243.68,X99,5,Cash,4,55,Overdue,Mismatch,6461.48,-10,1,1
100041,2024-02-11,2024-02-25,2024-02-15,1510,China,Net 60,7,683.27,1700.36,C3,5,ACH,1,19,Pending,Match,221.47,3,1,0
100042,2024-02-12,2024-02-26,2024-02-16,1681,USA,Net 30,4,8546.78,2355.19,D4,28,Wire,3,6,Paid,Match,50.34,8,0,0
100043,2024-02-13,2024-02-27,2024-02-17,1475,China,Net 30,5,17801.38,4291.01,A1,12,ACH,3,1,Paid,Match,286.13,5,0,0
100044,2024-02-14,2024-02-28,2024-02-18,1699,USA,Net 30,3,16128.2,1499.75,B2,12,ACH,1,11,Paid,Mismatch,-217.34,8,0,0
100045,2024-02-15,2024-02-29,2024-02-19,1975,Germany,Net 60,4,39672.46,4619.48,X99,28,Wire,3,61,Pending,Mismatch,3210.76,-5,1,1
100046,2024-02-16,2024-03-01,2024-02-20,1782,USA,Net 30,4,34187.75,1156.73,B2,12,ACH,1,10,Pending,Match,-446.08,1,0,0
100047,2024-02-17,2024-03-02,2024-02-21,1189,China,Net 60,3,15328.04,3750.09,C3,12,ACH,4,18,Overdue,Match,73.31,-8,0,0
100048,2024-02-18,2024-03-03,2024-02-22,1957,UK,Net 30,5,23158.32,3156.49,B2,28,Wire,3,28,Pending,Match,188.6,-4,0,0
100049,2024-02-19,2024-03-04,2024-02-23,1686,USA,Net 45,5,5230.18,3750.5,D4,5,Wire,3,1,Paid,Match,-173.85,-8,0,0
100050,2024-02-20,2024-03-05,2024-02-24,1957,USA,Net 30,7,44958.25,2192.36,C3,28,Wire,1,19,Overdue,Match,113.58,6,0,0
100051,2024-02-21,2024-03-06,2024-02-25,1562,India,Net 30,4,46803.53,4663.88,X99,5,Cash,1,79,Pending,Mismatch,4647.23,4,1,1
100052,2024-02-22,2024-03-07,2024-02-26,1875,UK,Net 60,4,49000.28,3166.04,B2,5,Wire,4,26,Overdue,Mismatch,-400.71,8,0,0
100053,2024-02-23,2024-03-08,2024-02-27,1566,Germany,Net 60,9,43493.37,1448.6,D4,12,Wire,1,7,Overdue,Match,201.75,8,0,0
100054,2024-02-24,2024-03-09,2024-02-28,1243,China,Net 30,6,9111.06,3195.89,X99,12,ACH,1,71,Overdue,Mismatch,3260.6,0,1,1
100055,2024-02-25,2024-03-10,2024-02-29,1831,Germany,Net 45,4,2786.73,1441.21,B2,5,Credit Card,4,29,Paid,Match,171.33,9,0,0
100056,2024-02-26,2024-03-11,2024-03-01,1504,UK,Net 30,2,29190.04,1475.23,X99,5,Credit Card,2,77,Paid,Mismatch,5021.37,-9,1,1
100057,2024-02-27,2024-03-12,2024-03-02,1130,USA,Net 30,6,45673.95,2004.0,A1,12,Cash,2,23,Pending,Match,352.62,-4,0,0
100058,2024-02-28,2024-03-13,2024-03-03,1484,USA,Net 45,2,9278.89,4263.63,A1,18,Cash,1,21,Paid,Match,-327.83,8,1,0
100059,2024-02-29,2024-03-14,2024-03-04,1818,UK,Net 60,5,848.62,2506.49,D4,5,Credit Card,4,9,Overdue,Mismatch,-13.71,-4,0,0
100060,2024-03-01,2024-03-15,2024-03-05,1646,USA,Net 30,6,40372.05,3397.72,X99,5,Credit Card,2,64,Overdue,Mismatch,9634.58,-1,1,1
100061,2024-03-02,2024-03-16,2024-03-06,1020,USA,Net 60,4,4301.39,1965.92,X99,5,Wire,4,86,Paid,Mismatch,9936.68,1,1,1
100062,2024-03-03,2024-03-17,2024-03-07,1840,USA,Net 60,3,20978.45,1325.39,A1,12,ACH,1,25,Overdue,Match,284.68,7,0,0
100063,2024-03-04,2024-03-18,2024-03-08,1166,China,Net 45,7,34104.92,4773.65,A1,28,Wire,1,24,Paid,Match,-271.83,-5,0,0
100064,2024-03-05,2024-03-19,2024-03-09,1273,China,Net 45,2,12221.48,3021.87,X99,5,Cash,4,57,Overdue,Mismatch,9004.0,9,1,1
100065,2024-03-06,2024-03-20,2024-03-10,1387,India,Net 60,6,4656.15,4670.42,C3,5,Credit Card,3,6,Pending,Match,90.01,-3,0,0
